cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
54492,"Munoz-Liceras, Juana",Individual," $29,628 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2019,Bilingualism and intellectual disabilities: The cognitive and metalinguistic abilities of Prader-Willi Syndrome bilingual and monolingual speakers,(1) Bilingualism; (2) Non-typically developing populations; (3) Intellectual disabilities; (4) Prader-Willi Syndrome; (5) Cognitive Control; (6) Metalinguistic Awareness; (7) English-French bilingualism,Insight Development Grant,Subventions de développement Savoir,Bilingualism and Second Language Learning,"Bilinguisme, apprentissage des langues secondes",Linguistics,Linguistique,Mental Health,Santé mentale
54493,"Boivin, Rémi",Individual," $29,601 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,Les trajectoires professionnelles des policiers du Québec : étude de cohorte,(1) police; (2) étude longitudinale; (3) trajectoires professionnelles,Insight Development Grant,Subventions de développement Savoir,Police,Police,Criminology,Criminologie,Law and Justice,Droit et justice
54494,"Forbes, Cameron",Individual," $21,723 ",2019,Memorial University of Newfoundland,Memorial University of Newfoundland,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2019,Active Site: Interventions and Adaptations in Western Newfoundland's Built Environment,(1) Built Environment; (2) Public Sculpture; (3) Vernacular Architecture; (4) Community Art; (5) Public Pedagogy; (6) Social Practice; (7) Rural; (8) Place-making; (9) Collaborative Art; (10) Municipal Planning,Insight Development Grant,Subventions de développement Savoir,Visual Arts,Arts visuels,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
54495,"D'Arcy, Alexandra",Individual," $50,999 ",2019,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,2019,Attention and salience in the perception of social meaning,(1) indexicality; (2) social meaning; (3) variation; (4) cognition,Insight Development Grant,Subventions de développement Savoir,Sociolinguistics,Sociolinguistique,Linguistics,Linguistique,Communication,Communications
54496,"Adriasola Munoz, Ignacio",Individual," $4,043 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,Omen: The Work of Enokura Koji,(1) Contemporary art; (2) Japan; (3) Art history and criticism; (4) Photography; (5) Performance art; (6) Video art; (7) Conceptual art; (8) Critical curatorial studies,Insight Development Grant,Subventions de développement Savoir,Visual Arts,Arts visuels,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
54497,"Pickering, Gary",Individual," $19,905 ",2019,Brock University,Brock University,ON,Ontario,Ontario,2019,Lifestyle choices and climate change mitigation: an assessment of knowledge and other barriers amongst youth,(1) climate change mitigation; (2) youth; (3) individual behaviour; (4) psychological barriers; (5) climate change perception; (6) education; (7) public understanding of science,Insight Development Grant,Subventions de développement Savoir,Human Ecology,Écologie humaine,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Global/Climate Change,Changements climatiques/planétaires
54498,"Purdon, Mark",Individual," $31,663 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2019,"BRIDGING ANALYTICAL DIVIDES BETWEEN ENERGY SYSTEM MODELING, THE GEOGRAPHY OF SUSTAINABILITY TRANSITIONS AND COMPARATIVE POLITICAL ECONOMY OF DEVELOPMENT",(1) Energy transitions; (2) Sustainable Low-Carbon Development; (3) Economic Geography; (4) Energy System Modeling; (5) Sub-Saharan Africa; (6) Political Economy,Insight Development Grant,Subventions de développement Savoir,Mathematical and Quantitative Methods,Méthodes mathématiques et quantitatives,Economics,Science économique,Energy and natural resources,Énergie et ressources naturelles
54499,"Nyhout, Angela",Individual," $22,903 ",2019,"Victoria University, Toronto","Victoria University, Toronto",ON,Ontario,Ontario,2019,Spontaneous counterfactual thinking in development,(1) scientific reasoning; (2) counterfactual reasoning; (3) social reasoning; (4) science education,Insight Development Grant,Subventions de développement Savoir,Child and Adolescent Psychology,Psychologie de l'enfance et de l'adolescence,Psychology,Psychologie,Children,Enfance
54500,"McMullin, Kevin",Individual," $29,639 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2019,On the Origin of [shpee-sheez]: Where Do Long-Distance Phonological Processes Come From?,(1) Phonological theory; (2) Long-distance processes; (3) Phonological learning; (4) Diachronic phonology; (5) Artificial language learning; (6) Experimental phonology; (7) Consonant harmony,Insight Development Grant,Subventions de développement Savoir,Phonology,Phonologie,Linguistics,Linguistique,Not Subject to Research Classification,Sans objet
54501,"Penney, Jeffrey",Individual," $26,500 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2019,Graduating in a recession: Differential impacts by college major and trade,(1) Recession; (2) Wages; (3) Recovery; (4) College major; (5) Trades; (6) Canada,Insight Development Grant,Subventions de développement Savoir,Labour and Demographic Economics,Économie du travail et démographie,Economics,Science économique,Employment and labour,Emploi et travail
54502,"Ugarte, Magdalena",Individual," $36,109 ",2019,Ryerson University,Ryerson University,ON,Ontario,Ontario,2019,Reclaiming Mapuche land use planning: A participatory exploration,(1) Land use planning; (2) Indigenous planning; (3) Territorial conflicts; (4) Participatory research; (5) Mapuche nation; (6) Chile,Insight Development Grant,Subventions de développement Savoir,Rural Planning,Planification rurale,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Indigenous peoples,Populations autochtones
54503,"Dubois, Elizabeth",Individual," $38,481 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2019,Mean Tweets: The impact of online harassment on political journalists in Canada,(1) political communication; (2) journalism; (3) Canada; (4) online harassment; (5) Twitter; (6) mixed-methods,Insight Development Grant,Subventions de développement Savoir,"Political Communication, Public Opinion","Stratégie politique, opinion publique",Communications and Media Studies,Communications et études des médias,Communication,Communications
54504,"Lechaume, Aline",Individual," $34,206 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2019,Au-delà de l'entrée irrégulière : parcours migratoire et d'insertion socioprofessionnelle des demandeurs d'asile au Québec,(1) demandeurs d'asile; (2) insertion socioprofessionnelle; (3) Québec; (4) parcours de vie; (5) méthodes mixtes; (6) migration; (7) emploi; (8) politiques migratoires; (9) mobilité,Insight Development Grant,Subventions de développement Savoir,Sociology,Sociologie,Sociology,Sociologie,Immigration,Immigration
54505,"Kim, Hae Jooo",Individual," $27,876 ",2019,Wilfrid Laurier University,Wilfrid Laurier University,ON,Ontario,Ontario,2019,"Do Smaller Screens Lessen Guilt? A Study on Screen Size, Guilt, and Consumer Indulgence",(1) technology; (2) consumer behaviour; (3) mobile devices; (4) embodied cognition; (5) guilt,Insight Development Grant,Subventions de développement Savoir,Marketing,Marketing,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
54506,"Queyras, Sina",Individual," $28,703 ",2019,Concordia University,Université Concordia,QC,Quebec,Québec,2019,Writing Beyond The Room,(1) literature; (2) memoir; (3) creative research; (4) gender studies; (5) women and space; (6) empowerment; (7) poetry; (8) literary history,Insight Development Grant,Subventions de développement Savoir,Creative Writing,Création littéraire,Fine Arts,Beaux-arts,Women,Femmes
14416,"Palmer, Alexandra",Applicant," $7,125 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2012,Recuperating fashion 1700-2000,fashion; and textile history; costume; material culture; second hand; social history; dressmaking; tailoring; fast and slow fashion; paisley shawls; Chinese robes; alterations and remaking and redesign; retro; museums; fashionable wardrobes,Insight Grants,Subventions Savoir,Other Fine Arts,Beaux-arts (autres),Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
55696,"Clapp, Jennifer A.",Applicant," $14,550 ",2019,University of Waterloo,University of Waterloo,ON,Ontario,Ontario,2013,The new politics of financial actors in the global food system,food system; food crisis; financial markets; political economy; environmental sustainability; food system; agriculture; global governance; investment; land politics; biofuels,Insight Grants,Subventions Savoir,International Relations,Relations internationales,Political Science,Sciences politiques,Agriculture,Agriculture
55714,"Lange, Matthew K.",Applicant," $9,148 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2013,The ABC's of civil war revisted,civil war; education; violence,Insight Grants,Subventions Savoir,Sociology,Sociologie,Sociology,Sociologie,Violence,Violence
55723,"Moskowitz, Debbie S.",Applicant," $50,759 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2013,Interpersonal consequences of within person variability,interpersonal behavior; within person variability; work relationships,Insight Grants,Subventions Savoir,Psychology,Psychologie,Psychology,Psychologie,Productivity,Productivité
55731,"Shi, Xianwen",Applicant," $17,410 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2013,Topics in mechanism design: beyond the classical theory,mechanism design; limited commitment; limited monetary transfers; revelation principle; incentive compatible mechanisms,Insight Grants,Subventions Savoir,Economics,Science économique,Economics,Science économique,Not Subject to Research Classification,Sans objet
55732,"Schonlau, Matthias",Applicant," $26,260 ",2019,University of Waterloo,University of Waterloo,ON,Ontario,Ontario,2013,Semi-automatic analysis of open-ended questions in surveys,survey methodology; text mining; qualitative data analysis,Insight Grants,Subventions Savoir,Sociology,Sociologie,Sociology,Sociologie,Population studies,Études de la population
55776,"Connolly, Deborah A.",Applicant," $18,872 ",2019,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2013,"Children's memory for a particular event from a series of similar events: the effects of temporal position, distinctiveness, and memory retrieval techniques",child abuse; memory for repeated events; forensic interviewing; credibility; mental context reinstatement,Insight Grants,Subventions Savoir,Psychology,Psychologie,Psychology,Psychologie,Children,Enfance
55790,"O'Quinn, Daniel J.",Applicant," $17,569 ",2019,University of Guelph,University of Guelph,ON,Ontario,Ontario,2013,"Georgian networks: media saturation and the London ethnoscape, 1760-1820",performance; media; theatre; ethnicity; newspapers; politics; eighteenth-century studies; cultural history,Insight Grants,Subventions Savoir,"Literature, Modern Languages and",Littératures et langues modernes,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
55799,"Bickmore, Kathy M.",Applicant," $75,085 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2013,Peace-building citizenship learning in Canada and Mexico: school connections with life experience,democratic citizenship education; peace education; anti-violence; middle and secondary schools; teacher leadership development; youth leadership development; international comparative; Latin America,Insight Grants,Subventions Savoir,Education,Éducation,Education,Éducation,Education,Éducation
